date,league,season,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,odds_home,odds_draw,odds_away,source_file
2019-08-23,La Liga,19-20,Levante,Villarreal,2,1,H,16.0,23.0,4.0,6.0,7.0,3.0,5.0,9.0,1.0,2.0,0.0,0.0,2.55,3.4,2.62,La Liga Primera Division\19-20.csv
2019-08-23,Premier League,19-20,Aston Villa,Everton,2,0,H,7.0,12.0,3.0,1.0,0.0,6.0,10.0,18.0,2.0,3.0,0.0,0.0,3.25,3.5,2.15,Premier League\19-20.csv
2019-08-24,Bundesliga,19-20,Augsburg,Union Berlin,1,1,D,12.0,13.0,4.0,1.0,3.0,4.0,16.0,19.0,3.0,1.0,0.0,1.0,2.2,3.4,3.3,Bundesliga\19-20.csv
2019-08-24,Bundesliga,19-20,Fortuna Dusseldorf,Leverkusen,1,3,A,11.0,11.0,6.0,7.0,1.0,5.0,14.0,10.0,3.0,2.0,0.0,0.0,4.75,4.0,1.7,Bundesliga\19-20.csv
2019-08-24,Bundesliga,19-20,Hoffenheim,Werder Bremen,3,2,H,10.0,18.0,3.0,6.0,3.0,6.0,13.0,15.0,2.0,5.0,0.0,1.0,1.85,3.6,4.2,Bundesliga\19-20.csv
2019-08-24,Bundesliga,19-20,Mainz,M'gladbach,1,3,A,21.0,15.0,4.0,6.0,3.0,5.0,12.0,14.0,2.0,2.0,0.0,0.0,2.9,3.4,2.4,Bundesliga\19-20.csv
2019-08-24,Bundesliga,19-20,Paderborn,Freiburg,1,3,A,15.0,9.0,2.0,4.0,9.0,5.0,20.0,6.0,3.0,1.0,0.0,0.0,2.37,3.5,2.9,Bundesliga\19-20.csv
2019-08-24,Bundesliga,19-20,Schalke 04,Bayern Munich,0,3,A,9.0,10.0,2.0,6.0,3.0,4.0,11.0,10.0,0.0,0.0,0.0,0.0,9.0,4.75,1.36,Bundesliga\19-20.csv
2019-08-24,La Liga,19-20,Celta,Valencia,1,0,H,11.0,9.0,6.0,1.0,6.0,4.0,8.0,12.0,1.0,2.0,0.0,0.0,3.1,3.4,2.25,La Liga Primera Division\19-20.csv
2019-08-24,La Liga,19-20,Getafe,Ath Bilbao,1,1,D,6.0,4.0,2.0,2.0,4.0,6.0,15.0,11.0,2.0,1.0,0.0,0.0,2.6,3.0,2.9,La Liga Primera Division\19-20.csv
