date,league,home_team,away_team,market_H,market_D,market_A,nomarket_H,nomarket_D,nomarket_A,poisson_home_xg,poisson_away_xg,poisson_diff,market_pick,nomarket_pick,market_confidence,nomarket_confidence,models_agree,market_nomarket_disagree,actual_result,home_odds,draw_odds,away_odds
2021-08-28,La Liga,Celta,Ath Bilbao,0.3823726904232526,0.3136178995900719,0.3040094099866754,0.3867545104405271,0.3077196714486027,0.3055258181108701,1.2096402351670776,1.1245815549186482,-0.0850586802484294,H,H,0.3823726904232526,0.3867545104405271,True,False,A,2.4,3.2,3.1
2021-08-28,La Liga,Elche,Sevilla,0.1696379512192843,0.2462004929884352,0.5841615557922805,0.2113176700744116,0.2751867444042052,0.5134955855213831,0.904200004941295,1.5654985286648904,0.6612985237235953,A,A,0.5841615557922805,0.5134955855213831,True,False,D,5.0,3.6,1.72
2021-08-28,La Liga,Sociedad,Levante,0.6365381096798224,0.2199769239856288,0.1434849663345488,0.512221862359168,0.2605970671567626,0.2271810704840693,1.868696878085725,0.9679419571487198,-0.9007549209370052,H,H,0.6365381096798224,0.512221862359168,True,False,H,1.53,4.2,6.0
2021-08-28,Bundesliga,Mainz,Greuther Furth,0.5870729235441569,0.2407864587120344,0.1721406177438087,0.4568829785640379,0.2725471826387917,0.2705698387971703,1.6882312551772547,0.905106995459579,-0.7831242597176757,H,H,0.5870729235441569,0.4568829785640379,True,False,H,1.66,4.0,5.0
2021-08-29,Ligue 1,Strasbourg,Brest,0.4734395489997866,0.29668878712015,0.2298716638800634,0.3572117416942779,0.2992085396485673,0.3435797186571547,1.4316951764519057,1.0522384801830595,-0.3794566962688461,H,H,0.4734395489997866,0.3572117416942779,True,False,H,2.0,3.3,4.0
2021-08-29,Serie A,Sassuolo,Sampdoria,0.472198071741727,0.2804151208354708,0.2473868074228022,0.5343626160633177,0.2473384007985185,0.2182989831381638,1.5119482225736585,1.1559487443723295,-0.3559994782013289,H,H,0.472198071741727,0.5343626160633177,True,False,D,2.0,3.6,3.6
2021-08-29,Serie A,Salernitana,Roma,0.1484753324425813,0.205160897056421,0.6463637705009976,0.2070421620032155,0.2280917018189533,0.5648661361778311,1.053615874872557,2.2951739401058404,1.2415580652332834,A,A,0.6463637705009976,0.5648661361778311,True,False,A,5.5,4.33,1.55
2021-08-29,Serie A,Milan,Cagliari,0.6760217870538799,0.2001605755211422,0.1238176374249779,0.6765176552563255,0.2025286858642096,0.1209536588794649,1.960943724175448,0.9059338812289724,-1.0550098429464754,H,H,0.6760217870538799,0.6765176552563255,True,False,H,1.44,4.5,7.0
2021-08-29,Premier League,Wolves,Man United,0.1713348109702605,0.2530606948696695,0.5756044941600701,0.259269488015083,0.2405606590890253,0.5001698528958918,0.9988237343311164,1.883781432827387,0.8849576984962706,A,A,0.5756044941600701,0.5001698528958918,True,False,A,5.0,3.5,1.75
2021-08-29,Premier League,Tottenham,Watford,0.7147216211638759,0.1819285791857233,0.1033497996504007,0.677332410152909,0.2065037815012743,0.1161638083458165,2.292561795952958,0.8458120639720278,-1.4467497319809302,H,H,0.7147216211638759,0.677332410152909,True,False,H,1.36,4.75,9.0
