date,group,stage,round,match_id,home_team,away_team,home_goals,away_goals,status,aet,penalties_home,penalties_away,winner,source_url,source_event_date,matched_date_source,fetched_at
2026-06-24,C,Group Stage,Group Stage,,Morocco,Haiti,4.0,2.0,completed,False,,,Morocco,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260624,2026-06-24,exact,2026-07-10T12:20:03.068488+00:00
2026-06-24,C,Group Stage,Group Stage,,Scotland,Brazil,0.0,3.0,completed,False,,,Brazil,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260624,2026-06-24,exact,2026-07-10T12:20:03.068488+00:00
2026-06-25,D,Group Stage,Group Stage,,Paraguay,Australia,0.0,0.0,completed,False,,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260625,2026-06-26,source_event_date_plus_1,2026-07-10T12:20:11.103930+00:00
2026-06-25,E,Group Stage,Group Stage,,Curaçao,Ivory Coast,0.0,2.0,completed,False,,,Ivory Coast,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260625,2026-06-25,exact,2026-07-10T12:20:11.103930+00:00
2026-06-25,E,Group Stage,Group Stage,,Ecuador,Germany,2.0,1.0,completed,False,,,Ecuador,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260625,2026-06-25,exact,2026-07-10T12:20:11.103930+00:00
2026-06-25,F,Group Stage,Group Stage,,Japan,Sweden,1.0,1.0,completed,False,,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260625,2026-06-25,exact,2026-07-10T12:20:11.103930+00:00
2026-06-25,F,Group Stage,Group Stage,,Tunisia,Netherlands,1.0,3.0,completed,False,,,Netherlands,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260625,2026-06-25,exact,2026-07-10T12:20:11.103930+00:00
2026-06-26,G,Group Stage,Group Stage,,Egypt,Iran,1.0,1.0,completed,False,,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260626,2026-06-27,source_event_date_plus_1,2026-07-10T12:20:19.181146+00:00
2026-06-26,G,Group Stage,Group Stage,,New Zealand,Belgium,1.0,5.0,completed,False,,,Belgium,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260626,2026-06-27,source_event_date_plus_1,2026-07-10T12:20:19.181146+00:00
2026-06-26,H,Group Stage,Group Stage,,Cape Verde,Saudi Arabia,0.0,0.0,completed,False,,,,https://site.api.espn.com/apis/site/v2/sports/soccer/fifa.world/scoreboard?dates=20260626,2026-06-27,source_event_date_plus_1,2026-07-10T12:20:19.181146+00:00
