date,group,stage,round,match_id,home_team,away_team,home_slot,away_slot,neutral_venue,status,source,source_url,fetched_at,home_goals,away_goals,aet,penalties_home,penalties_away,winner,source_event_date,source_event_id
2026-07-04,,Round of 32,Round of 32,R32_16,Colombia,Ghana,2nd Group D,2nd Group G,True,completed,espn,https://www.espn.com/soccer/match/_/gameId/760501/ghana-colombia,2026-07-04T08:25:18+00:00,1.0,0.0,False,,,Colombia,2026-07-04 01:30:00+00:00,760501
2026-07-05,,Round of 16,Round of 16,R16_03,Brazil,Norway,Winner R32_05,Winner R32_06,True,scheduled,espn,https://www.espn.com/soccer/match/_/gameId/760504/norway-brazil,2026-07-04T08:25:18+00:00,,,,,,,2026-07-05 20:00:00+00:00,760504
2026-07-06,,Round of 16,Round of 16,R16_04,Mexico,England,Winner R32_07,Winner R32_08,True,scheduled,espn,https://www.espn.com/soccer/match/_/gameId/760505/england-mexico,2026-07-04T08:25:18+00:00,,,,,,,2026-07-06 00:00:00+00:00,760505
2026-07-06,,Round of 16,Round of 16,R16_05,Portugal,Spain,Winner R32_09,Winner R32_10,True,scheduled,espn,https://www.espn.com/soccer/match/_/gameId/760506/spain-portugal,2026-07-04T08:25:18+00:00,,,,,,,2026-07-06 19:00:00+00:00,760506
2026-07-07,,Round of 16,Round of 16,R16_06,United States,Belgium,Winner R32_11,Winner R32_12,True,scheduled,espn,https://www.espn.com/soccer/match/_/gameId/760507/belgium-united-states,2026-07-04T08:25:18+00:00,,,,,,,2026-07-07 00:00:00+00:00,760507
2026-07-07,,Round of 16,Round of 16,R16_07,Argentina,Egypt,Winner R32_13,Winner R32_14,True,scheduled,espn,https://www.espn.com/soccer/match/_/gameId/760509/egypt-argentina,2026-07-04T08:25:18+00:00,,,,,,,2026-07-07 16:00:00+00:00,760509
2026-07-07,,Round of 16,Round of 16,R16_08,Switzerland,Colombia,Winner R32_15,Winner R32_16,True,scheduled,espn,https://www.espn.com/soccer/match/_/gameId/760508/colombia-switzerland,2026-07-04T08:25:18+00:00,,,,,,,2026-07-07 20:00:00+00:00,760508
2026-07-11,,Quarter Final,Quarter Final,QF_01,TBD,TBD,Winner R16_01,Winner R16_02,True,waiting_for_teams,static_slot_fallback,,2026-07-04T08:25:18+00:00,,,,,,,,
2026-07-11,,Quarter Final,Quarter Final,QF_02,TBD,TBD,Winner R16_03,Winner R16_04,True,waiting_for_teams,static_slot_fallback,,2026-07-04T08:25:18+00:00,,,,,,,,
2026-07-12,,Quarter Final,Quarter Final,QF_03,TBD,TBD,Winner R16_05,Winner R16_06,True,waiting_for_teams,static_slot_fallback,,2026-07-04T08:25:18+00:00,,,,,,,,
2026-07-12,,Quarter Final,Quarter Final,QF_04,TBD,TBD,Winner R16_07,Winner R16_08,True,waiting_for_teams,static_slot_fallback,,2026-07-04T08:25:18+00:00,,,,,,,,
2026-07-14,,Semi Final,Semi Final,SF_01,TBD,TBD,Winner QF_01,Winner QF_02,True,waiting_for_teams,static_slot_fallback,,2026-07-04T08:25:18+00:00,,,,,,,,
2026-07-15,,Semi Final,Semi Final,SF_02,TBD,TBD,Winner QF_03,Winner QF_04,True,waiting_for_teams,static_slot_fallback,,2026-07-04T08:25:18+00:00,,,,,,,,
2026-07-19,,Final,Final,FINAL,TBD,TBD,Winner SF_01,Winner SF_02,True,waiting_for_teams,static_slot_fallback,,2026-07-04T08:25:18+00:00,,,,,,,,
